文件,概念,图片路径,匹配方式
1juan_chinese_mapping.json,行于目叶,切分图/028db776-第一卷_133_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病问诊枝,切分图/071a9ad0-第一卷_155_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,轻、糙等性为隆病外因叶,切分图/071a9ad0-第一卷_155_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病泻下枝,切分图/07ff2af5-第一卷_205_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,肾、膀胱脉,切分图/09252b6d-第一卷_391_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,颈部要害肌肉4块,切分图/0c4fd2bc-第一卷_401_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病丸剂枝,切分图/0d0543ff-第一卷_200_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根脉4条,切分图/0d4860b3-第一卷_390_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,尿液常量,切分图/10a59ee3-第一卷_286_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,维命隆叶,切分图/1178e45d-第一卷_114_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,上行隆叶,切分图/1178e45d-第一卷_114_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,颈小关节2个,切分图/129ba0c8-第一卷_306_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,脑后小关节1个,切分图/129ba0c8-第一卷_306_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,生理物质的常量（3）,切分图/1bc5a90e-第一卷_303_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病外治枝,切分图/1fb9b9c2-第一卷_208_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,咸味叶,切分图/1ff6550d-第一卷_187_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,治隆病药物性枝,切分图/1ff6550d-第一卷_187_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,母血生血肉脏腑,切分图/20586cbe-第一卷_219_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病药性枝,切分图/24865975-第一卷_190_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,生理物质的正常量（1）,切分图/259ec314-第一卷_285_group1/entity1_曼唐图像.jpg,contains
